lb_hab_fr;lb_code
Clairière ou bords de piste à strate herbacée haute;211f
Clairière ou bords de piste à courte strate herbacée;234f
Rive de mare permanente sous la canopée;7462f
Mare temporaire sous canopée;713f
Source en forêt;731f
Source en forêt;732f
Résurgence en forêt;733f
Petites zone ouverte en forêt avec résurgence;7331f
Fossé de drainage en forêt;734f
Fossé de drainage le long de piste en plantation;735f
Ruisseau saisonnier en forêt;7332f
Berges de ruisseau en forêt;7442f
Berges de rivière en forêt;7441f
Bouse de vache en forêt;7131f
Affleurement rocheux en forêt;75f
Fourrés d'Opuntia;76f
Touffes d'asphodèles;77f
MACROHABITATS DES ZONES HUMIDES (gén.);6
Bas-marais (gén.);61
bas-marais alcalin/;611
bas-marais acide;612
Saulaies marécageuses;613
Marais montagnards/subalpins;614
Tourbière de transition;62
Tourbière (gén.);63
Tourbière haute;631
Tourbière de couverture;632
Tourbière exploitée;633
Tourbière aapa;634
Tourbière palsa;635
Roselière/magnocariçaie (gén.);64
Roselière;641
grands carex;642
Formations de cannes;643
Marais plat;65
MACROHABITATS SAUMATRES (gén.);67
Lagon;672
Marais salé (gén.);673
Prairie à Spartine;6732
Pré salé atlantique;6733
pré salé continental;6734
MACROHABITATS D'EAU DOUCE (gén.);7
Stagnante (gén.);71
Mare permanente;712
Mare temporaire;713
Courante (gén.);72
Rivière (gén.);721
Ruisseau;722
Ruisseau saisonnier;723
Sources/résurgences (gén.);73
rhéocrène;731
limnocrène;732
hélocrène;733
Berges (gén.);74
Berge d'eau courante, (gén.);744
Berge de rivière (gen,);7441
sableuse /graveleuse;74412
Berge de ruisseau;7442
berge de canal;7443
Berge d'eau stagnante (gén.);746
Berge de lac;7461
Berge de mare permanente;7462
